country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Hungary,,,,,,99.3,,,,,,,,,,,,,,99.2,,,,,,,,,,99.1,,,,,,,99
Indonesia,,,,,,81.7,,,,,,,,,,95.1,,,,,,,,,,,,,,98.5,,96.3,,99.4,99.4,,98.8
India,,,,,,,40.3,,,,,,,,,,49.4,,,,,,,,,,67.8,,,,,74.4,,,,,
Iran,,42.3,,,,,,,,,,65.6,,,,,81.2,,,,,90.6,,,,,,,,,96.7,96.1,,98.5,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,80.5,,,,,,,,,,,80.5
Israel,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,99.6,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.9
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,96.3,,,,,,,,,,,,98.5
Jordan,,,,,84.8,,,,,,,,,,,,,,,,,,,,,,,,98.9,,99,,99,,,98.8,99.3
Kazakhstan,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.9,,,,,,,,,,99.9,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,91.9,,,,,,,81.6,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,99.8,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,71.1,,,,,,78.9,,,,85.5,85.9,,
Kuwait,66,,,,,76,,,,,84.1,,,,,,,,,,90.2,,,,,,,,,,99.8,98.5,98.5,98.7,,,
Lao,,,,,,,,,,,,,,,,,,,,,64,,,,,73.6,74.7,,,,78.7,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,,,,
Liberia,,,,,,,,,,33.7,,,,,,,,,,54.2,,,,,,,,,,73.4,,,37.2,,,,
Libya,,,,,,,,,,80.3,,,,,,,,,,96.3,,,,,,,,,,99.4,,,,,,,99.8
Sri Lanka,,,,,,,90.2,,,,,,,,,,,,,,,,,,,,96.1,,,,,97.9,,98.6,,98.6,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,,,,,,,,,92.1,,
Lithuania,,,,,,,,,,,,,,,99.7,,,,,,,,,,,,99.7,,,,,,,,,,99.8
Latvia,,,,,,,,,,,,,,,99.8,,,,,,,,,,,99.8,,,,,,,,,,,99.7
"Macao, China",,,,,,,94.2,,,,,,,,,,,,,,,,,,,,99.8,,,,,99.7,,,,,99.7
Morocco,,,,,,,,30.9,,,,,,,,,,,,46,,,,,,,,,,60.5,,,,69.9,72.2,,74
Moldova,,,,,,,,,,,,,,,99.7,,,,,,,,,,,99.7,,,,,,,,,,,100
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,68.2,,,,,,,,,64,,
Maldives,,,87.1,,,,,,,,96.2,,,,,98.3,,,,,98.3,,,,,98.3,,,,,,99.4,,,,,
Mexico,,,,,,90.9,,,,,,,,,,94.9,,,,,,,,,,96.5,,97.3,,97.6,97.6,97.7,98.1,98.4,98.4,98.5,98.5
North Macedonia,,,,,,,,,,,,,,,,,,,,98.6,,,,,,,,98.5,,,,,,,,,98.5
Mali,,13.5,,,,,,,,,,,,,,,,,,,,,,16.9,,,,,,,,30.8,,,,34,38.8
